scene_id,run_mode,paper_ready_metadata,experiment_id,group_id,task_type,scene_type,planned_metrics,seed,global_seed,mic_layout,num_sources,num_mics,duration_sec,fs,rt60_sec,snr_db,absorption,max_order,scale,scene_dir,rir_path,image_source_geometry_path,first_mixed_clean_path,first_mixed_noisy_path,clean_sum_max_abs_error,noisy_sum_max_abs_error,clean_sum_pass,noisy_sum_pass
scene_001,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20260625,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.0630999396521794,data\simulated_scenes\week1\day5\scene_001,data\simulated_scenes\week1\day5\scene_001\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_001\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_001\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_001\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.070729922503233e-07,True,True
scene_002,week1_day5_function_check,True,W1D5,W1D5_single_source_mic_8,simulation_function_check,single_source,localization_error_2d_cm;MAE_cm;P90_cm;Hit@10cm;Hit@20cm;miss_rate;false_alarm_rate,20260722,20260625,mic_8,1,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.07327199990349532,data\simulated_scenes\week1\day5\scene_002,data\simulated_scenes\week1\day5\scene_002\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_002\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_002\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_002\mixed_noisy\mixed_noisy_mic01.wav,0.0,8.42846930027008e-08,True,True
scene_003,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20260819,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.06690005695066782,data\simulated_scenes\week1\day5\scene_003,data\simulated_scenes\week1\day5\scene_003\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_003\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_003\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_003\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.1874362826347351e-07,True,True
scene_004,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20260916,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.06759119017960993,data\simulated_scenes\week1\day5\scene_004,data\simulated_scenes\week1\day5\scene_004\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_004\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_004\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_004\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.1827796697616577e-07,True,True
scene_005,week1_day5_function_check,True,W1D5,W1D5_single_source_mic_8,simulation_function_check,single_source,localization_error_2d_cm;MAE_cm;P90_cm;Hit@10cm;Hit@20cm;miss_rate;false_alarm_rate,20261013,20260625,mic_8,1,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.1382470107634236,data\simulated_scenes\week1\day5\scene_005,data\simulated_scenes\week1\day5\scene_005\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_005\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_005\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_005\mixed_noisy\mixed_noisy_mic01.wav,0.0,8.055940270423889e-08,True,True
scene_006,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20261110,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.030798224577766483,data\simulated_scenes\week1\day5\scene_006,data\simulated_scenes\week1\day5\scene_006\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_006\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_006\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_006\mixed_noisy\mixed_noisy_mic01.wav,1.1920928955078125e-07,1.3783574104309082e-07,True,True
scene_007,week1_day5_function_check,True,W1D5,W1D5_single_source_mic_8,simulation_function_check,single_source,localization_error_2d_cm;MAE_cm;P90_cm;Hit@10cm;Hit@20cm;miss_rate;false_alarm_rate,20261207,20260625,mic_8,1,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.10169107895747746,data\simulated_scenes\week1\day5\scene_007,data\simulated_scenes\week1\day5\scene_007\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_007\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_007\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_007\mixed_noisy\mixed_noisy_mic01.wav,0.0,7.753260433673859e-08,True,True
scene_008,week1_day5_function_check,True,W1D5,W1D5_single_source_mic_8,simulation_function_check,single_source,localization_error_2d_cm;MAE_cm;P90_cm;Hit@10cm;Hit@20cm;miss_rate;false_alarm_rate,20261304,20260625,mic_8,1,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.05557302214659358,data\simulated_scenes\week1\day5\scene_008,data\simulated_scenes\week1\day5\scene_008\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_008\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_008\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_008\mixed_noisy\mixed_noisy_mic01.wav,0.0,7.05476850271225e-08,True,True
scene_009,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20261401,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.06462784694364862,data\simulated_scenes\week1\day5\scene_009,data\simulated_scenes\week1\day5\scene_009\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_009\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_009\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_009\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.2299278751015663e-07,True,True
scene_010,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20261498,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.062432610477639795,data\simulated_scenes\week1\day5\scene_010,data\simulated_scenes\week1\day5\scene_010\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_010\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_010\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_010\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.0104849934577942e-07,True,True
scene_011,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20261595,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.08839933699645336,data\simulated_scenes\week1\day5\scene_011,data\simulated_scenes\week1\day5\scene_011\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_011\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_011\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_011\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,9.872019290924072e-08,True,True
scene_012,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20261692,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.07222151735286061,data\simulated_scenes\week1\day5\scene_012,data\simulated_scenes\week1\day5\scene_012\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_012\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_012\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_012\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.1138035915791988e-07,True,True
scene_013,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20261789,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.07856295207934316,data\simulated_scenes\week1\day5\scene_013,data\simulated_scenes\week1\day5\scene_013\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_013\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_013\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_013\mixed_noisy\mixed_noisy_mic01.wav,1.1920928955078125e-07,1.234002411365509e-07,True,True
scene_014,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20261886,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.04446966599108952,data\simulated_scenes\week1\day5\scene_014,data\simulated_scenes\week1\day5\scene_014\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_014\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_014\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_014\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.0812073014676571e-07,True,True
scene_015,week1_day5_function_check,True,W1D5,W1D5_single_source_mic_8,simulation_function_check,single_source,localization_error_2d_cm;MAE_cm;P90_cm;Hit@10cm;Hit@20cm;miss_rate;false_alarm_rate,20261983,20260625,mic_8,1,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.016984369527996368,data\simulated_scenes\week1\day5\scene_015,data\simulated_scenes\week1\day5\scene_015\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_015\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_015\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_015\mixed_noisy\mixed_noisy_mic01.wav,0.0,9.12696123123169e-08,True,True
scene_016,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20262080,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.1216117202701603,data\simulated_scenes\week1\day5\scene_016,data\simulated_scenes\week1\day5\scene_016\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_016\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_016\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_016\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.1175870895385742e-07,True,True
scene_017,week1_day5_function_check,True,W1D5,W1D5_single_source_mic_8,simulation_function_check,single_source,localization_error_2d_cm;MAE_cm;P90_cm;Hit@10cm;Hit@20cm;miss_rate;false_alarm_rate,20262177,20260625,mic_8,1,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.059420479439287174,data\simulated_scenes\week1\day5\scene_017,data\simulated_scenes\week1\day5\scene_017\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_017\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_017\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_017\mixed_noisy\mixed_noisy_mic01.wav,0.0,7.345806807279587e-08,True,True
scene_018,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20262274,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.06871061578721452,data\simulated_scenes\week1\day5\scene_018,data\simulated_scenes\week1\day5\scene_018\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_018\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_018\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_018\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.1920928955078125e-07,True,True
scene_019,week1_day5_function_check,True,W1D5,W1D5_single_source_mic_8,simulation_function_check,single_source,localization_error_2d_cm;MAE_cm;P90_cm;Hit@10cm;Hit@20cm;miss_rate;false_alarm_rate,20262371,20260625,mic_8,1,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.08423651810250948,data\simulated_scenes\week1\day5\scene_019,data\simulated_scenes\week1\day5\scene_019\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_019\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_019\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_019\mixed_noisy\mixed_noisy_mic01.wav,0.0,8.789356797933578e-08,True,True
scene_020,week1_day5_function_check,True,W1D5,W1D5_dual_source_mic_8,simulation_function_check,dual_source,multi_source_localization_error_2d_cm;source_count_error;multi_source_hit_rate;miss_rate;false_alarm_rate,20262468,20260625,mic_8,2,8,7.0,48000,0.3,20.0,0.0700494894560237,219,0.0891669404236236,data\simulated_scenes\week1\day5\scene_020,data\simulated_scenes\week1\day5\scene_020\rir\rirs.npz,data\simulated_scenes\week1\day5\scene_020\image_source_geometry\image_source_geometry.npz,data\simulated_scenes\week1\day5\scene_020\mixed_clean\mixed_clean_mic01.wav,data\simulated_scenes\week1\day5\scene_020\mixed_noisy\mixed_noisy_mic01.wav,5.960464477539063e-08,1.3853423297405243e-07,True,True
